height,weight,age,Cluster
180.0,77.0,107.0,0
188.0,83.0,104.0,0
193.0,86.0,101.0,0
196.0,88.0,100.0,1
178.0,79.0,98.0,0
180.0,79.0,99.0,0
196.0,90.0,104.0,1
183.0,77.0,101.0,0
196.0,90.0,98.0,1
196.0,95.0,98.0,1
193.0,95.0,100.0,1
208.0,102.0,103.0,1
190.0,79.0,97.0,0
196.0,97.0,100.0,1
196.0,81.0,98.0,0
185.0,81.0,102.0,0
193.0,83.0,105.0,0
193.0,92.0,102.0,1
208.0,106.0,95.0,1
196.0,99.0,100.0,1
190.0,86.0,99.0,0
190.0,79.0,102.0,0
190.0,81.0,98.0,0
183.0,77.0,106.0,0
196.0,90.0,108.0,1
193.0,88.0,101.0,0
180.0,77.0,108.0,0
190.0,83.0,105.0,0
188.0,86.0,100.0,0
196.0,88.0,103.0,1
188.0,81.0,105.0,0
201.0,88.0,101.0,1
178.0,70.0,102.0,0
183.0,81.0,97.0,0
201.0,90.0,101.0,1
193.0,92.0,100.0,1
185.0,74.0,102.0,0
183.0,79.0,103.0,0
185.0,77.0,103.0,0
185.0,79.0,105.0,0
190.0,81.0,101.0,0
196.0,79.0,101.0,0
183.0,79.0,98.0,0
196.0,88.0,106.0,1
188.0,81.0,99.0,0
198.0,88.0,103.0,1
190.0,85.0,103.0,0
196.0,92.0,108.0,1
188.0,79.0,100.0,0
190.0,79.0,103.0,0
190.0,86.0,105.0,0
185.0,83.0,96.0,0
188.0,81.0,100.0,0
188.0,86.0,103.0,0
196.0,86.0,104.0,1
180.0,77.0,103.0,0
198.0,88.0,107.0,1
198.0,95.0,98.0,1
196.0,90.0,100.0,1
183.0,72.0,105.0,0
180.0,79.0,102.0,0
196.0,89.0,104.0,1
193.0,102.0,103.0,1
201.0,86.0,98.0,1
190.0,83.0,98.0,0
201.0,88.0,95.0,1
190.0,88.0,98.0,0
188.0,83.0,102.0,0
201.0,98.0,99.0,1
196.0,90.0,100.0,1
208.0,108.0,100.0,1
206.0,102.0,106.0,1
185.0,77.0,107.0,0
183.0,81.0,106.0,0
201.0,95.0,102.0,1
188.0,81.0,105.0,0
201.0,88.0,98.0,1
201.0,88.0,98.0,1
180.0,81.0,104.0,0
190.0,92.0,101.0,1
206.0,97.0,101.0,1
190.0,77.0,101.0,0
206.0,102.0,102.0,1
178.0,79.0,103.0,0
188.0,88.0,100.0,0
193.0,83.0,100.0,0
178.0,79.0,105.0,0
193.0,81.0,100.0,0
190.0,83.0,101.0,0
190.0,83.0,105.0,0
180.0,79.0,108.0,0
196.0,107.0,105.0,1
180.0,77.0,104.0,0
180.0,77.0,104.0,0
206.0,103.0,100.0,1
190.0,86.0,97.0,0
183.0,83.0,102.0,0
198.0,97.0,100.0,1
198.0,97.0,105.0,1
190.0,78.0,101.0,0
188.0,77.0,102.0,0
190.0,79.0,99.0,0
201.0,97.0,104.0,1
201.0,96.0,105.0,1
180.0,72.0,98.0,0
188.0,87.0,100.0,0
188.0,83.0,103.0,0
190.0,83.0,99.0,0
190.0,83.0,98.0,0
188.0,86.0,105.0,0
188.0,88.0,104.0,0
208.0,99.0,100.0,1
188.0,79.0,104.0,0
185.0,80.0,102.0,0
203.0,83.0,97.0,1
183.0,81.0,102.0,0
203.0,99.0,103.0,1
193.0,92.0,106.0,1
178.0,77.0,100.0,0
193.0,86.0,102.0,0
190.0,95.0,102.0,1
180.0,81.0,103.0,0
183.0,81.0,99.0,0
198.0,83.0,106.0,0
196.0,95.0,98.0,1
196.0,88.0,103.0,1
183.0,76.0,103.0,0
196.0,95.0,101.0,1
203.0,104.0,100.0,1
208.0,111.0,101.0,1
201.0,104.0,97.0,1
201.0,95.0,97.0,1
201.0,95.0,102.0,1
193.0,86.0,104.0,0
188.0,88.0,100.0,0
183.0,74.0,100.0,0
183.0,86.0,97.0,0
201.0,100.0,99.0,1
185.0,74.0,104.0,0
193.0,83.0,101.0,0
203.0,95.0,98.0,1
190.0,81.0,104.0,0
203.0,88.0,101.0,1
206.0,99.0,110.0,1
183.0,78.0,97.0,0
185.0,81.0,100.0,0
188.0,83.0,102.0,0
190.0,79.0,102.0,0
180.0,72.0,103.0,0
190.0,88.0,98.0,0
208.0,108.0,104.0,1
201.0,99.0,100.0,1
190.0,83.0,100.0,0
190.0,90.0,104.0,0
183.0,78.0,101.0,0
188.0,79.0,100.0,0
188.0,83.0,103.0,0
193.0,78.0,99.0,0
190.0,86.0,103.0,0
206.0,99.0,101.0,1
196.0,88.0,100.0,1
188.0,88.0,103.0,0
193.0,83.0,103.0,0
206.0,99.0,98.0,1
201.0,86.0,102.0,1
201.0,86.0,102.0,1
198.0,99.0,103.0,1
196.0,86.0,104.0,1
180.0,74.0,111.0,0
206.0,90.0,101.0,1
188.0,83.0,101.0,0
206.0,95.0,100.0,1
206.0,83.0,102.0,1
183.0,76.0,102.0,0
178.0,70.0,98.0,0
178.0,74.0,102.0,0
196.0,108.0,108.0,1
178.0,79.0,104.0,0
188.0,83.0,101.0,0
183.0,79.0,107.0,0
196.0,90.0,98.0,1
196.0,92.0,100.0,1
203.0,99.0,97.0,1
201.0,104.0,103.0,1
198.0,90.0,103.0,1
188.0,87.0,108.0,0
178.0,81.0,103.0,0
190.0,86.0,102.0,0
190.0,88.0,99.0,0
178.0,74.0,101.0,0
188.0,86.0,103.0,0
188.0,81.0,103.0,0
185.0,81.0,97.0,0
190.0,83.0,101.0,0
188.0,79.0,102.0,0
185.0,90.0,112.0,0
203.0,100.0,100.0,1
185.0,88.0,107.0,0
190.0,86.0,103.0,0
183.0,81.0,105.0,0
196.0,92.0,100.0,1
193.0,90.0,105.0,1
185.0,83.0,104.0,0
188.0,83.0,102.0,0
196.0,99.0,102.0,1
198.0,97.0,103.0,1
183.0,83.0,105.0,0
193.0,95.0,105.0,1
183.0,77.0,103.0,0
183.0,77.0,103.0,0
190.0,88.0,102.0,0
190.0,88.0,97.0,0
193.0,92.0,104.0,1
193.0,92.0,104.0,1
198.0,95.0,105.0,1
183.0,77.0,103.0,0
198.0,92.0,104.0,1
188.0,72.0,98.0,0
183.0,77.0,104.0,0
175.0,70.0,99.0,0
175.0,70.0,99.0,0
175.0,70.0,104.0,0
188.0,77.0,100.0,0
193.0,86.0,97.0,0
190.0,90.0,96.0,0
188.0,72.0,99.0,0
203.0,99.0,101.0,1
196.0,99.0,101.0,1
185.0,79.0,100.0,0
196.0,95.0,98.0,1
198.0,99.0,103.0,1
196.0,95.0,99.0,1
185.0,79.0,97.0,0
198.0,97.0,103.0,1
188.0,86.0,99.0,0
203.0,104.0,103.0,1
206.0,97.0,97.0,1
193.0,95.0,98.0,1
185.0,77.0,97.0,0
201.0,83.0,99.0,1
196.0,90.0,97.0,1
196.0,90.0,97.0,1
196.0,83.0,99.0,0
198.0,95.0,99.0,1
196.0,83.0,101.0,0
188.0,86.0,97.0,0
188.0,83.0,97.0,0
188.0,79.0,100.0,0
201.0,95.0,98.0,1
193.0,90.0,102.0,1
196.0,88.0,97.0,1
206.0,96.0,97.0,1
196.0,90.0,97.0,1
185.0,79.0,99.0,0
198.0,90.0,102.0,1
201.0,95.0,96.0,1
190.0,90.0,96.0,0
196.0,86.0,99.0,1
198.0,99.0,99.0,1
185.0,79.0,99.0,0
183.0,81.0,96.0,0
203.0,104.0,98.0,1
203.0,90.0,96.0,1
198.0,90.0,97.0,1
203.0,95.0,96.0,1
185.0,77.0,96.0,0
183.0,79.0,97.0,0
196.0,88.0,95.0,1
188.0,81.0,97.0,0
188.0,83.0,103.0,0
175.0,72.0,97.0,0
196.0,97.0,97.0,1
193.0,83.0,99.0,0
190.0,83.0,100.0,0
193.0,92.0,97.0,1
185.0,83.0,98.0,0
188.0,83.0,96.0,0
190.0,92.0,97.0,1
211.0,106.0,98.0,1
178.0,74.0,96.0,0
180.0,81.0,99.0,0
211.0,95.0,97.0,1
185.0,79.0,99.0,0
193.0,83.0,99.0,0
193.0,92.0,98.0,1
185.0,77.0,94.0,0
183.0,77.0,95.0,0
203.0,102.0,95.0,1
201.0,98.0,95.0,1
188.0,79.0,95.0,0
185.0,83.0,97.0,0
180.0,81.0,95.0,0
201.0,90.0,96.0,1
201.0,102.0,96.0,1
190.0,81.0,95.0,0
196.0,83.0,98.0,0
188.0,92.0,98.0,1
178.0,78.0,97.0,0
188.0,86.0,100.0,0
178.0,77.0,97.0,0
196.0,90.0,94.0,1
185.0,83.0,97.0,0
201.0,94.0,95.0,1
203.0,102.0,94.0,1
193.0,86.0,94.0,0
196.0,97.0,95.0,1
190.0,83.0,96.0,0
188.0,83.0,97.0,0
190.0,95.0,97.0,1
188.0,88.0,98.0,0
201.0,90.0,96.0,1
190.0,86.0,95.0,0
183.0,72.0,96.0,0
188.0,83.0,97.0,0
185.0,77.0,98.0,0
193.0,95.0,96.0,1
206.0,97.0,95.0,1
201.0,97.0,95.0,1
183.0,83.0,95.0,0
188.0,83.0,97.0,0
190.0,81.0,96.0,0
193.0,86.0,94.0,0
